name,address,lat,lng,open_hours,rest_days,limited_time,midnight,pudding,basque,tiramisu,dessert,salty_food,café,study,chat,photo,pet,wifi
雷爾森咖啡,桃園市中壢區永光里三光路205號,24.96607802,121.2136804,13:30-18:30(週一、週二店休),"Mon. ,Tue.",0,0,0,0,0,0,0,1,0,0,0,0,0
走走咖啡,桃園市桃園區大興里寶山街358號,25.01550118,121.3121731,09:30-17:30,,0,0,0,1,1,1,0,1,0,0,0,0,0
鬍莉咖啡,桃園市中壢區石頭里中山路161-1號,24.96415618,121.2232525,12:00-18:00(週一、週二店休),"Mon. ,Tue.",0,0,1,1,0,1,0,1,0,1,0,0,0
和平咖啡館,桃園市中壢區永興里興國路8號2樓,24.96415618,121.2208492,18:00-02:00(週二店休),Tue.,0,0,0,0,0,0,0,1,0,0,0,0,0
Y.J COFFEE 玉津咖啡-中壢環中店,桃園市中壢區自信里環中東路192號,24.9639257,121.2570914,平日07:15-21:00 / 假日08:00-21:00,,0,0,0,0,0,1,0,1,0,0,0,0,0
OAO.CoffeeBar,桃園市中壢區普忠里新中北路488號,24.97302639,121.2395603,21:00-03:00,,0,0,0,0,0,0,0,0,0,0,0,0,0
不眠深夜咖啡廳,桃園市中壢區普忠里環中東路708巷42號,24.95573547,121.2439809,14:00-00:00(週四店休),Thu.,1,1,0,0,0,1,0,1,1,1,0,0,0
燊咖啡,桃園市桃園區新埔六街138號,25.0164747,121.3016895,12:00-22:00,,0,0,0,1,0,1,0,1,0,0,0,0,0
甯 咖啡,桃園市中壢區大仁五街12號,24.9562756,121.2405441,11:30~18:00/星期五、六11:30–20:00,Mon. ,0,0,0,0,0,1,0,1,0,0,1,0,0
武威堂咖啡,桃園市中壢區東興里龍岡路一段63巷52號,24.95154588,121.2238021,平日11:00-18:00 / 假日10:00-18:00,,0,0,1,0,1,1,0,1,0,1,0,0,0
懶懶日咖啡,桃園市中壢區興南里慈惠一街126號,24.96108258,121.2249525,13:00–18:00,"Mon. ,Tue. ,Wed. ",0,0,0,0,1,1,0,1,0,0,1,1,0
突奌咖啡喵,桃園市中壢區福州路20號,24.9536276,121.2321894,11:30-19:00,"Tue., Wed.",0,0,0,0,1,1,0,1,1,0,0,1,0
理性與感性咖啡館,桃園市中壢區舊明里義民路71號,24.95479021,121.2165393,11:00–17:00/星期六、日12:00–18:00,Thu.,0,0,1,0,0,1,0,1,0,0,0,0,0
香草蛋糕舖 民族總店Vanilla Pastry House,桃園市桃園區民族路193號,24.994018,121.30778,10:30–21:30,,0,0,1,0,1,1,0,1,0,0,0,0,0
老墨咖啡,桃園市中壢區延平路324號,24.9604559,121.2256136,09:30–16:00,Sun.,0,0,0,0,0,0,0,1,1,1,1,0,0
只是光影 獨立咖啡廳,桃園市桃園區新民街43巷10之1號,24.994488,121.312375,14:00–19:00,"Tue., Wed.",0,0,1,0,0,1,0,1,1,1,0,0,0
我們。 他們 咖啡廳,桃園市中壢區長安街 1之13號（老街溪河濱步道上）,24.953617,121.218041,13:30–21:00,Tue.,0,0,0,0,0,1,0,1,1,1,0,1,0
喵日子 Café,桃園區保定三街93號,24.9983361,121.2978507,11:00–21:00,,1,0,0,0,0,1,0,1,0,0,1,0,0
尼爾瓦特,桃園市龍潭區龍源路大平段690巷105號,24.825126,121.2470289,平日10:00-18:00 / 假日10:00-19:30,Tue.,0,0,0,0,0,1,0,1,0,0,1,0,0
福森院子早午餐咖啡舒芙蕾鬆餅,桃園市桃園區明德里中寧街12巷16號,25.01932034,121.2966453,09:00–17:00,,0,0,0,0,0,1,0,1,1,1,1,0,0
有間在桃園,桃園市桃園區大豐里金門四街52號1樓,24.9818456,121.313716,11:00–20:00/假日10:00–20:00,Tue.,0,0,0,0,0,0,0,0,0,0,0,0,0
黑豆啡,桃園市桃園區明德里同德十一街156號1樓,25.0200515,121.2945996,10:00–19:00,Thu.,1,0,0,0,0,1,0,1,0,0,0,0,0
金木犀 Kinmokusei,桃園市桃園區力行路385巷31號,24.9979222,121.2974387,12:00–18:00,"wed., Thu.",0,0,0,0,0,1,0,1,0,0,0,0,0
Chīwit Kaffe其味咖啡2店,桃園市桃園區文中里文中一路136號,24.9912209,121.310708,09:00–17:00,"Mon. ,Tue. ,Wed. ,Thu.",0,0,0,0,1,1,0,1,1,0,0,0,0
松鼎精品咖啡,桃園市中壢區光明里民權路150號,24.95898144,121.2175119,11:00–20:00/星期二、五13:00–20:00/星期日11:00–18:00,,0,0,0,0,0,0,0,1,0,0,0,0,0
圓桌咖啡,桃園市中壢區三光路317號,24.9641644,121.2143425,09:00-16:00 / 星期六10:00–18:00,Sun.,0,0,0,0,0,1,0,1,0,1,0,0,0
Table 2 Coffee Roaster,桃園市中壢區興平路163號號,24.9659549,121.227522,10:30–18:30,Tue.,0,0,0,0,1,1,0,1,0,0,0,0,0
哈瓦那咖啡悅讀館,桃園市中壢區慈惠三街157巷6號,24.9645748,121.2251341,10:00–18:00,,1,0,0,0,0,1,0,1,1,0,0,0,1
好咖 Howcup CURRY CAFE',桃園市中壢區中北路19號,24.956053,121.23602,11:00-21:00,,0,0,0,0,0,1,0,1,0,0,0,0,0
路易莎咖啡 louisa coffee -桃園中路店,桃園市桃園區正光路181號,24.9960857,121.2950588,07:30–18:30,,0,0,0,0,0,0,0,1,1,0,0,0,1
吾人知曉自家烘焙咖啡,桃園市桃園區民富十七街12號,25.0175615,121.3104867,13:00–19:00,"Mon. ,Tue. ,Wed. ",0,0,0,0,0,1,0,1,0,0,0,0,0
啡蒔 Verse Cafe by Minorcode,桃園市桃園區同德十一街45號,25.020871,121.2971338,11:30–18:00,"Thu. ,Fri.",1,0,0,0,1,1,0,1,1,0,0,0,0
方亭咖啡,桃園市桃園區民生路103號,24.9923034,121.3137323,平日10:00-21:00 / 假日08:00-18:00,,0,0,0,0,0,1,0,1,1,1,0,0,0
紓咖,桃園市中壢區仁愛里環中東路357-1號,24.9609015,121.254621,10:00–18:00,"Mon. ,Tue. ,Wed. ,Thu. ,Fri.",0,0,0,0,0,1,0,1,1,1,0,0,0
木桌子咖啡,桃園市桃園區中山路847巷27號,24.988482,121.287585,13:00~19:30/星期三13:00–23:00,"Sun. ,Mon. ,Tue.",1,1,0,0,0,1,1,1,0,0,0,0,0
The Good One Coffee Roaster,桃園市桃園區民有五街122號,25.008501,121.3178489,09:00–18:00,Sat.,0,0,0,1,1,1,0,1,0,1,0,0,0
